route_id,mae,rmse,train_rows,test_rows
R-1005,0.5358980447921622,0.8034220057098796,16823.0,721.0
R-1026,0.7777050500661714,1.1400912515394939,16823.0,721.0
R-1027,0.8372230516327482,1.1516799348044182,16823.0,721.0
R-1037,0.7922789398783993,1.1327049081086167,16823.0,721.0
R-1080,0.9944245187442606,1.312979755597918,16823.0,721.0
R-1117,0.5305668562193506,0.699469398956293,16823.0,721.0
R-1149,0.949681419154252,1.3089772670940845,16823.0,721.0
R-1184,1.0244439370116343,1.373809686581305,16823.0,721.0
R-1203,1.248189527532412,1.4834136398649762,16823.0,721.0
R-1432,1.0509092823451904,1.382781539708285,16823.0,721.0
R-1461,1.2396313602803388,1.5499459525721673,16823.0,721.0
R-1482,0.7610436850905448,0.9987677451633756,16823.0,721.0
R-1757,1.175069204490799,1.5294678230491652,16823.0,721.0
R-1759,0.33226949432551883,0.4496475744095634,16823.0,721.0
R-1872,0.7344717312571846,0.9861235590156819,16823.0,721.0
R-1880,0.6548749145385447,0.9258361390912603,16823.0,721.0
R-2121,0.7094162167256891,0.9639119805337695,16823.0,721.0
R-2125,1.1859190170061376,1.4723098644589965,16823.0,721.0
R-2248,1.394693759858745,1.638006073755636,16823.0,721.0
R-2256,1.2442701919005867,1.4882523678232922,16823.0,721.0
R-2260,0.8136391194624644,1.1332035091823924,16823.0,721.0
R-2263,1.264301475166555,1.5437199079706976,16823.0,721.0
R-2278,1.314166225617474,1.6004199815795328,16823.0,721.0
R-2367,1.1529945679053284,1.457829769357253,16823.0,721.0
R-2406,1.3705900304972742,1.6470803066270159,16823.0,721.0
